date,product,category,region,sales,units,price,cost,profit
2023-01-05,Laptop,Electronics,North,2450.00,5,490.00,350.00,700.00
2023-01-12,Smartphone,Electronics,South,1800.00,6,300.00,180.00,720.00
2023-01-18,Tablet,Electronics,East,1250.00,5,250.00,150.00,500.00
2023-01-25,Headphones,Electronics,West,480.00,8,60.00,35.00,200.00
2023-02-03,Monitor,Electronics,North,1600.00,4,400.00,280.00,480.00
2023-02-10,Keyboard,Electronics,South,375.00,15,25.00,12.00,195.00
2023-02-17,Mouse,Electronics,East,240.00,12,20.00,8.00,144.00
2023-02-24,Printer,Electronics,West,900.00,3,300.00,220.00,240.00
2023-03-05,T-shirt,Clothing,North,450.00,30,15.00,6.00,270.00
2023-03-12,Jeans,Clothing,South,1200.00,20,60.00,25.00,700.00
2023-03-19,Sweater,Clothing,East,800.00,16,50.00,22.00,448.00
2023-03-26,Jacket,Clothing,West,1500.00,10,150.00,70.00,800.00
2023-04-02,Shoes,Clothing,North,1800.00,12,150.00,65.00,1020.00
2023-04-09,Socks,Clothing,South,180.00,60,3.00,1.00,120.00
2023-04-16,Hat,Clothing,East,320.00,16,20.00,7.00,208.00
2023-04-23,Gloves,Clothing,West,280.00,14,20.00,8.00,168.00
2023-05-01,Sofa,Furniture,North,3600.00,3,1200.00,750.00,1350.00
2023-05-08,Chair,Furniture,South,1000.00,10,100.00,45.00,550.00
2023-05-15,Table,Furniture,East,1800.00,6,300.00,180.00,720.00
2023-05-22,Bed,Furniture,West,2400.00,4,600.00,350.00,1000.00
2023-05-29,Desk,Furniture,North,1500.00,5,300.00,180.00,600.00
2023-06-05,Bookshelf,Furniture,South,900.00,6,150.00,80.00,420.00
2023-06-12,Cabinet,Furniture,East,1200.00,4,300.00,180.00,480.00
2023-06-19,Dresser,Furniture,West,1600.00,4,400.00,250.00,600.00
2023-06-26,Lamp,Home Decor,North,375.00,15,25.00,10.00,225.00
2023-07-03,Rug,Home Decor,South,800.00,8,100.00,45.00,440.00
2023-07-10,Curtains,Home Decor,East,600.00,12,50.00,20.00,360.00
2023-07-17,Pillow,Home Decor,West,240.00,24,10.00,4.00,144.00
2023-07-24,Vase,Home Decor,North,320.00,16,20.00,7.00,208.00
2023-07-31,Picture Frame,Home Decor,South,450.00,30,15.00,5.00,300.00
2023-08-07,Candle,Home Decor,East,200.00,40,5.00,1.50,140.00
2023-08-14,Plant Pot,Home Decor,West,360.00,18,20.00,8.00,216.00
2023-08-21,Blender,Appliances,North,750.00,10,75.00,35.00,400.00
2023-08-28,Toaster,Appliances,South,480.00,12,40.00,18.00,264.00
2023-09-04,Coffee Maker,Appliances,East,900.00,9,100.00,45.00,495.00
2023-09-11,Microwave,Appliances,West,1200.00,6,200.00,120.00,480.00
2023-09-18,Vacuum Cleaner,Appliances,North,1500.00,5,300.00,180.00,600.00
2023-09-25,Iron,Appliances,South,400.00,16,25.00,10.00,240.00
2023-10-02,Food Processor,Appliances,East,800.00,8,100.00,45.00,440.00
2023-10-09,Kettle,Appliances,West,375.00,15,25.00,10.00,225.00
2023-10-16,Book,Books,North,300.00,20,15.00,5.00,200.00
2023-10-23,Magazine,Books,South,150.00,30,5.00,1.50,105.00
2023-10-30,Notebook,Books,East,240.00,48,5.00,1.20,182.40
2023-11-06,Pen,Books,West,120.00,60,2.00,0.50,90.00
2023-11-13,Pencil,Books,North,75.00,75,1.00,0.25,56.25
2023-11-20,Backpack,Books,South,600.00,12,50.00,22.00,336.00
2023-11-27,Calendar,Books,East,200.00,20,10.00,3.00,140.00
2023-12-04,Toy Car,Toys,West,300.00,20,15.00,6.00,180.00
2023-12-11,Doll,Toys,North,450.00,15,30.00,12.00,270.00
2023-12-18,Board Game,Toys,South,800.00,16,50.00,20.00,480.00
2023-12-25,Puzzle,Toys,East,375.00,25,15.00,5.00,250.00
